Portuguese,English
ok,OK
nosso,our
oi,hey
hora,hour
outra,other
dela,her
certeza,certainty
sair,to go out
olá,hello
problema,problem
carro,car
daqui,from here
mulher,woman
toda,all
merda,Shit
algum,some
volta,return
espere,hang on
falando,talking
sabia,you knew
amigo,friend
aconteceu,it happened
menos,any less
olhe,look
tipo,type
faça,do
venha,come
diz,it says
três,three
ótimo,excellent
obrigada,thanks
vezes,times
vi,saw
primeiro,first
atrás,back
voltar,to go back
sério,serious
entre,in between
tenha,you have
deveria,it should
realmente,really
ah,ah
seria,he would be
às,to the
embora,although
olha,look
vê,bum
parte,part
viu,it saw
vem,he comes
todas,all
aquele,that one
fique,stay
los,Los
deixar,to leave
ajudar,to help
amor,love
dentro,inside
dê,in
pensei,I thought
cabeça,head
família,family
duas,two
gente,people
frente,front
pare,Stop
querida,dear
feliz,happy
dias,days
nas,in the
indo,going
lado,side
fui,I went
podem,they can
gosto,I like
homens,men
mal,bad
matar,to kill
nenhum,none
dá,from the
fiz,I did
precisamos,we need
pegar,to take
somos,are
cidade,city
tarde,afternoon
fosse,were
alguns,some
legal,Cool
amigos,friends
têm,he has
garota,girl
meio,quite
deles,from them
logo,soon
rápido,fast
amanhã,tomorrow
momento,time
gostaria,I would like
medo,fear
caso,case
num,on one
foram,they were
importa,it matters
tanto,so much
horas,hours
porta,door
tentando,trying
irmão,brother
outros,others
entrar,to enter
desde,since
ali,there
minhas,my
amo,I love
jeito,way
minutos,minutes
cada,each
morto,dead
vejo,I see
enquanto,while
quase,almost
errado,wrong
pessoa,person
algumas,some
ajuda,help
demais,too much
nova,new
história,history
perto,close
fica,he is
aquela,that one
tá,OK
dizendo,say
semana,week
garoto,boy
deu,it gave
encontrar,meet
papai,daddy
pessoal,guys
contra,against
sorte,luck
cima,top
droga,damn it
primeira,first
nisso,in that
esses,those
quiser,he wants
morte,death
essas,these
idéia,idea
achei,I thought
morrer,to die
espero,I expect
caminho,path
polícia,police
sente,feel
arma,weapon
manhã,morning
aos,to the
acabou,he finished
quarto,room
crianças,children
ano,year
levar,to take
pronto,ready
forma,form
acredito,I believe
espera,wait
for,either
chegar,to arrive
juntos,together
gosta,he likes
cuidado,Careful
uns,some
tive,I had
pensar,think
numa,in
razão,reason
veja,look
feito,done
devia,should
mãos,hands
teve,he had
consigo,with you
elas,they
sido,has been
conta,account
contar,tell
chefe,boss
olhos,eyes
filha,daughter
ia,ia
difícil,difficult
idiota,idiot
significa,means
entendo,I understand
dr,DR
deixa,he leaves
vindo,coming
ouvir,to hear
passar,to spend
acontecendo,happening
sangue,blood
vir,come over
fim,end
mamãe,mommy
devo,owe
esposa,wife
lembra,remember
mesma,same
veio,he came
última,last
problemas,problems
jogo,game
guerra,war
água,water
parar,to stop
nossos,ours
teria,it would have
importante,important
mão,hand
querem,want
sra,Mrs
pensando,thinking
boca,mouth
coração,heart
tal,such
única,only
escola,school
exatamente,exactly
corpo,body
conhece,do you know
podia,could
poder,power
tentar,to try
licença,license
nenhuma,none
causa,cause
havia,there was
fala,he speaks
ficou,it was left
ouvi,I heard
digo,I say
faço,I make
longe,far away
terra,Earth
começar,to start
saia,skirt
jack,jack
ontem,yesterday
tivesse,have
porra,Cum
segundo,second
pois,then
velho,old
maior,bigger
capitão,captain
cinco,five
matou,killed
tirar,to throw
querido,Dear
diabos,hell
senhora,madam
sendo,being
chance,chance
morreu,he died
marido,husband
usar,to use
número,number
meses,months
pegue,take it
esperar,wait
conheço,I know
preocupe,worry
comer,eat
esperando,waiting
cá,here
festa,party
estranho,strange
mulheres,women
trabalhar,to work
prazer,pleasure
houve,there was
aquilo,that one
telefone,telephone
sabemos,We know
consegue,it achieves
muita,many
deixou,he left
irá,will
pergunta,question
filhos,children
john,John
segurança,security
tomar,to take
fácil,easy
conseguir,get
esteja,is
dormir,to sleep
bastante,quite
desse,of that
quatro,four
dessa,of that
possa,be likely to
mil,thousand
pais,country
calma,calm
muitos,many
café,coffee
sentir,to feel
irmã,sister
estavam,they were
bebê,baby
muitas,lots of
maneira,manner
eram,they were
acontecer,to happen
sozinho,alone
além,in addition
neste,in this
chega,he arrives
suficiente,enough
terá,will have
sabem,They know
caras,faces
fale,speak
quis,wanted
nessa,in that
procurando,looking for
durante,during
trás,back
vivo,alive
acordo,agreement
escute,Listen
minuto,minute
vendo,seeing
novamente,again
fogo,fire
chegou,it arrived
ouça,listen
criança,child
provavelmente,probably
possível,possible
conseguiu,it achieved
viver,to live
jantar,to have lunch
culpa,fault
equipe,team
achar,to think
falta,lack
pensa,thought
sala,living room
aonde,to where
falou,he spoke
desta,of this
nossas,our
certa,certain
leve,light
único,single
armas,weapon
puta,bitch
mudar,to change
presidente,chairman
comida,food
ligar,to connect
desculpa,sorry
louco,crazy
acreditar,to believe
cama,bed
nesse,in that
conversar,to talk
perder,lose
pagar,pay
livro,book
faria,would make
diferente,different
umas,some
forte,strong
plano,flat
pequeno,small
devemos,we must
existe,exist
trouxe,he brought
ouviu,he heard
alô,hello
paz,peace
força,strength
nele,in him
direito,right
lembro,I remember
pena,pity
dizem,They say
casamento,marriage
outras,others
agente,agent
ruim,bad
pedir,ask
estiver,you are
palavra,word
dólares,dollars
entende,he understands
passado,past
luz,light
médico,doctor
pro,pro
atenção,attention
volte,come back
música,music
final,Final
mostrar,Show
acabar,to finish
país,country
filme,film
adeus,goodbye
próxima,next
tchau,goodbye
olhar,to look
pior,worse
baixo,low
estes,these
fazem,do
querer,to want
rei,king
ponto,point
seis,six
descobrir,discover
iria,I would go
acontece,it happens
semanas,weeks
brincando,joking
jovem,young
controle,control
perguntar,to ask
hospital,hospital
linda,beautiful
sam,sam
jesus,Jesus
chama,flame
resto,rest
próximo,next
sob,under
jogar,to play
colocar,to place
esteve,was
fico,I am
rua,road
tu,you
especial,Special
ai,there
chamar,to call
precisar,to need
garotas,girls
negócio,business
continuar,Continue
rapazes,boys
vim,I came
pé,foot
falei,I spoke
ideia,idea
pegou,he picked up
estado,state
seguro,safe
ajude,help
tire,remove
engraçado,funny
devem,must
cedo,early
último,last
saiu,it went out
sai,leaves
comprar,purchase
escritório,desk
encontro,meeting
sinal,signal
michael,Michael
estas,these
começou,it started
pelos,by the
daí,so
livre,free
respeito,respect
prisão,prison
manter,to maintain
teu,your
incrível,incredible
alto,high
aqueles,those ones
nesta,in this
ajudá,help
srta,MS
queremos,we want
sentido,sense
deste,of this
doutor,doctor
passou,it happened
estivesse,it was
perfeito,perfect
escolha,choice
estávamos,we were
fiquei,I was left
andar,to walk
real,real
próprio,own
pequena,small
estará,will be
ama,love
si,si
boas,good
sistema,system
mortos,dead
entendeu,did you understand
esqueça,forget
milhões,millions
futuro,future
chão,floor
pense,think
ar,air
acredita,belief
ganhar,to win
sexo,sex
dor,pain
charlie,Charlie
trabalhando,working
mente,mind
fato,fact
bonito,beautiful
cabelo,hair
las,las
olhando,looking
consegui,I achieved
policial,police officer
the,The
visto,visa
finalmente,finally
mesa,table
linha,line
amiga,friend
lhes,them
frank,Frank
presente,gift
dez,ten
modo,mode
abra,open it
rapaz,boy
salvar,to save
palavras,words
cuidar,to care
anda,ride
situação,situation
tom,tone
após,after
cale,cale
disseram,They said
tua,your
conhecer,to know
assassino,assassin
passa,raisin
lindo,beautiful
tente,try
própria,own
continue,continues
estive,I have been
entender,to understand
peguei,I got
casar,to marry
perdeu,it lost
sozinha,alone
avião,plane
preso,stuck
conosco,with us
contou,said
simples,simple
estás,these
lamento,am sorry
ficará,will be
grandes,big ones
emprego,job
estaria,it would be
odeio,I hate
entendi,I understood
bonita,beautiful
ordem,order
local,local
pediu,he requested
tio,uncle
achou,he thought
olho,eye
crime,crime
voltou,it returned
farei,I will do
fizeram,made
encontrei,I found
normal,normal
partir,leave
sol,Sun
soube,knew
lista,list
ataque,attack
viagem,trip
uh,uh
vontade,willing
rosto,face
chamado,called
doente,sick
foto,Photograph
inferno,hell
acabei,I finished
hotel,Hotel
acidente,accident
tome,take
tv,TV
mensagem,message
levou,he took
david,David
grupo,group
natal,Christmas
senhores,sirs
segunda,second
george,George
serviço,service
professor,teacher
terminar,finish
menina,girl
melhores,best
ligue,call
precisam,need
caixa,box
nave,nave
general,general
perguntas,questions
sonho,dream
exército,army
simplesmente,simply
povo,people
quente,warm
campo,field
trazer,to bring
resposta,response
irei,I will go
continua,to be continued
tiver,have
voce,you
estarei,I will be
aniversário,birthday
morta,dead
abrir,Open
guarda,guard
usando,using
levá,he takes
trabalha,it works
menino,boy
harry,Harry
questão,question
porquê,why
mike,Mike
banco,Bank
idade,age
meia,half
penso,perse
vale,OK
área,area
maldito,damn you
pelas,by
quantos,how many
leva,he takes
graças,grace
beber,to drink
voz,voice
namorada,girlfriend
encontrou,it found
lembrar,to remember
dei,Dei
matá,Woods
companhia,company
mestre,teacher
barco,boat
deixá,he leaves
mau,bad
erro,error
céu,sky
prometo,promise
ligou,CALLED
seguir,follow
pudesse,could
perdi,I lost
surpresa,surprise
negócios,business
fome,hunger
conversa,conversation
programa,program
lutar,to fight
diria,would say
missão,mission
notícias,News
chave,key
olhada,look
mês,month
dando,giving
fará,will make
fotos,Photos
ouvindo,listening
coloque,place
fundo,bottom
ler,to read
governo,government
fazê,make it
adoro,I adore
banheiro,bathroom
explicar,explain
chame,cum
advogado,attorney
totalmente,totally
juro,interest
contato,contact
metade,half
ficando,staying
funciona,it works
loja,store
joe,Joe
precisava,needed
cachorro,puppy
procurar,to search for
traga,bring on
peter,peter
ótima,excellent
motivo,reason
lei,law
segundos,second
completamente,completely
tradução,translation
apartamento,apartment
saiba,know
frio,cold
mandou,Manda
bons,Good
esquerda,left
teremos,we will have
fomos,we were
saindo,leaving
roupa,clothing
carta,Letter
buscar,search
somente,only
espaço,space
haver,be
embaixo,below
vista,View
disto,of this
parabéns,congratulations
naquela,at that
tocar,touch
interessante,interesting
namorado,boyfriend
fizemos,We did
segredo,secret
tenente,lieutenant
tentei,I tried
velha,old
assunto,subject
tentou,tried
senti,feeling
ben,Ben
posição,position
luta,fight
passada,last
norte,north
conte,count
reunião,meeting
divertido,funny
roupas,clothes
sete,seven
horrível,horrible
destino,destiny
viva,alive
nela,in it
garotos,boys
creio,I believe
depressa,quickly
aposto,bet
fazemos,We do
vidas,lives
energia,energy
costas,back
né,huh
drogas,drug
papel,paper
falo,I talk
faremos,we will do
entendido,understood
direita,right
mandar,to send
estrada,road
mudou,changed
tivemos,we had
hey,hey
cair,to fall
verdadeiro,True
levante,raise
alma,soul
impossível,impossible
parecia,it
assassinato,murder
peça,part
coronel,colonel
naquele,in that
loucura,craziness
